network,activity,combined_ID
2562,recalcitrant,"Bis(2,2,6,6-tetramethyl-4-piperidyl) sebacate"
1583,depletolite,Decanoyl-L-carnitine
21,depletolite,Isovaleryl-L-carnitine
21,depletolite,Decanoyl-L-carnitine
21,depletolite,Octanoylcarnitine
21,depletolite,Hexanoyl-L-carnitine
21,depletolite,3-Hydroxyhexadecanoylcarnitine
21,depletolite,Spectral Match to Lauroyl L-carnitine from NIST14
21,depletolite,L-Propionylcarnitine
21,depletolite,(R)-Butyrylcarnitine
1319,recalcitrant,NA
311,recalcitrant,NA
-1,recalcitrant,Dibutyl sebacate
1045,depletolite,NA
-1,recalcitrant,Eicosapentaenoic acid methyl ester
-1,recalcitrant,Prallethrin
436,recalcitrant,NA
1841,recalcitrant,Adipoyl-L-carnitine
5136,recalcitrant,NA
6344,recalcitrant,NA
